content,contentTranslation,languageInEnglish,preprocessed
"Charca miam (:meam?), Sira (:Syra?)",(unknown meaning),Latin,"charca meam, syra"
"Silentiolus
((:nomen SILENTIOLUS in forma navis scriptum))",Silentiolus,Latin,"silentiolus, nomen silentiolus in forma navis scriptum"
"Septembr(es)
III idus pro tunica ((denarius)) I a(sses) VIII","On the third day before the Ides of September, (I spent) one denarius and eight asses for a tunic.",Latin,"septembres, iii idus pro tunica denarius i asses viii"
"Duo sodales hic fuerunt, et, cum diu malum
ministrum in omnia haberent
nomine Epaphroditum, vix tarde
eum foras exigerunt (:exegerunt).
Consumpserunt persuavissime cum fu`tu´ere ((sestertii)) CVS","Two friends were here, and they had a servant named Epaphroditus who was terrible at everything for the whole time, so they finally kicked him out. (Then?) they spent 105 1/2 sestertii most delightfully when they had sex.",Latin,"duo sodales hic fuerunt, et, cum diu malum, ministrum in omnia haberent, nomine epaphroditum, vix tarde, eum foras exegerunt., consumpserunt persuavissime cum fu`tu´ere sestertii cvs"
ILASV (:Hilarus?),Hilarus,Latin,hilarus
"Mortus (:Mortuus)
Sumpo(rus) (:Symphorus)",Symphorus is dead,Latin,"mortuus, sumporus symphorus"
omnibus Salinensi v[---],To all the Salinenses...,Latin,omnibus salinensi v.
"Phyl va(le) 
","Goodbye, Phyllis.",Latin,"phyl vale , "
Q(uintus) M[---]ANTV[---],,Latin,quintus m.antv.
A&#818;B&#818;CDEF&#818;G&#818;H&#818;I&#818;K&#818;,(Beginning of an alphabet),Latin,a̲b̲cdef̲g̲h̲i̲k̲
"XVII k(alendas), X k(alendas), VII id(us)","17 days before the Kalends, 10 days before the Kalends, 7 days before the Ides",Latin,"xvii kalendas, x kalendas, vii idus"
Mus,Mus (personal name) OR mouse,Latin,mus
Echio · va(le),"Goodbye, Echio.",Latin,echio · vale
Romu(lus),Romu(lus?),Latin,romulus
[---]at veniat,...let him/her come.,Latin,'at veniat
"va(le?)
[---]rio [I?]sidoru
IX
((:viri caput))
",Greetings . . . to Isidorus(?). 9,Latin,"vale, ripario isidoru, ix, viri caput, "
"AM
Surus
Ianua va(le)","Am(andus?), Surus: farewell Ianua(rius?).",Latin,"am, surus, ianua vale"
XI k(alendas) Febarias (:Februarias),The 11th day before the Kalends of February.,Latin,xi kalendas februarias
"C(aius) Iunius
((:nomen C(AIUS) IUNIUS in forma navis scriptum))",Gaius Iunius,Latin,"caius iunius, nomen caius iunius in forma navis scriptum"
GENT[--]RR[---],(series of letters),Latin,gentrr.
IIII P(ublius) Quin(tilius?),4 Publius Quin(tilius?),Latin,iiii publius quintilius
I,1,Latin,i
[A]ve Fausta s(alutem),"Greetings, Fausta!",Latin,ave fausta salutem
I&#768;n curia {Aus} Augustiana,,Latin,ìn curia {aus} augustiana
"Iulaiam (:Iuliam?)
ad dom","To Julia, mistress",Latin,"iuliam, ad dom"
XI,11,Latin,xi
"CELE
&#12296;:textus non legitur&#12297;",(Incomprehensible series of characters),Latin,"cele, "
Mode&#818;r&#818;atus&#818;,Moderatus,Latin,mode̲r̲atus̲
NO,NO,Latin,no
LXXII,72,Latin,lxxii
Cunei,Wedges,Latin,cunei
M,,Latin,m
IVIIRIIHIIRI,(untranslateable series of letters),Latin,iviiriihiiri
Albinus,Albinus,Latin,albinus
CVEN,to whom in . . .,Latin,cven
"CELES (?)
COSSSIIIIII",(... other letters here...) Cossutius(?),Latin,"celes , cosssiiiiii"
"Vitalio
p&#818;e&#818;dica ut comatus&#818;
Urosacula&#818;
Suu&#818;r&#818;us (:Syrus?)
Fo&#818;l&#818;i&#818;a&#818;t&#818;u&#818;s&#818;",Vitalio... (more confusing text here).,Latin,"vitalio, p̲e̲dica ut comatus̲, urosacula̲, suu̲r̲syrus, fo̲l̲i̲a̲t̲u̲s̲"
"&#12296;:ad perpendiculum&#12297;
Numini",For the numen (divine will).,Latin,", numini"
IANV,Ianu(arius?),Latin,ianv
VERIII,Verus(?),Latin,veriii
XVII,17,Latin,xvii
Mercurius,Mercurius,Latin,mercurius
"Assis IIIIHIINII
CCCXXX",Coins (...series of characters) / 330,Latin,"assis iiiihiinii, cccxxx"
"[- - -]o
[- - -]foro",... (in the) forum (?),Latin,"capitolio, inforo"
XXVIIII,29,Latin,xxviiii
Fatuus,Idiot,Latin,fatuus
"Hyacinthus hic fu&#818;i&#818;t&#818;
Verginiam s&#818;u&#818;a&#818;m&#818;","Hyacinthus was here, his Verginia...",Latin,"hyacinthus hic fu̲i̲t̲, verginiam s̲u̲a̲m̲"
"Croca&#818;l&#803;e
barbat&#818;a&#818;",Bearded Crocale,Latin,"croca̲ḷe, barbat̲a̲"
"ROM
&#12296;:vacat&#12297;
R","Rom(ulus?), or Rom(a?)",Latin,"rom, , r"
[---]N · LA,(series of letters),Latin,claudian · la
"Extan[+1?+] pisu
[- - -]QVATVS ne
quinque
",There exist (...other letters here...) ...fourth(?) not five,Latin,"extan1 pisu, torqvatvs ne, quinque, "
"[+1?+]anthi
trama
p(ondo) IX
stame(n)
p(ondo) VII
VIII","Cloth for (literally of) Xanthus: weft - 9 (units by weight), warp - 7 (units), 8",Latin,"1anthi, trama, pondo ix, stamen, pondo vii, viii"
S IIIII,S 5,Latin,s iiiii
TVS lusor,"(Ius)tus, the game player",Latin,tvs lusor
IINIIDII (:c&#803;inaede),Pervert!,Latin,iiniidii c̣inaede
XXXIXXVVV,(Series of numbers),Latin,xxxixxvvv
"Silentiolus
((:nomen SILENTIOLUS in forma navis scriptum))",Silentiolus,Latin,"silentiolus, nomen silentiolus in forma navis scriptum"
Vivaniu&#818;s&#803; At&#803;er u&#803;b&#803;i&#803;que,Vivanius Ater everywhere,Latin,vivaniu̲ṣ aṭer ụḅịque
Modesti,of Modestus,Latin,modesti
"Sabin(a)
Sabina","Sabina, Sabina",Latin,"sabina, sabina"
K(alends) III Iulias,Three days before the Kalends of July,Latin,kalends iii iulias
Soli,Alone...,Latin,soli
"Vinum acceptum
ab domino VII Idus Apriles",Wine (was) received from the master seven days before the Ides of April.,Latin,"vinum acceptum, ab domino vii idus apriles"
CAI,"Gaius!  (vocative... or abbreviated nominative, or set of initials)",Latin,cai
AL&#803;S&#803;,A(ulus) L(---) S(---?),Latin,aḷṣ
"&#12296;:ad perpendiculum&#12297;
Rare lali omnes a","Infrequently, all the lullabies(?)...",Latin,", rare lali omnes a"
Saco(mata?) XX,Counterweights(?) 20,Latin,sacomata xx
"Ocaeanus (:Oceanus)
&#969;",(...) Oceanus,Latin/Greek,"oceanus, ω"
Myrine mari,Myrine to the sea (?),Latin,myrine mari
"Venimus,
venimus
hoc cupidi,
multo magis ire cupimus.","We came! We came here desiring, much more do we desire to go",Latin,"venimus,, venimus, hoc cupidi,, multo magis ire cupimus."
POLY,Poly(bius?),Latin,poly
