content,contentTranslation,languageInEnglish,preprocessed
"&#12296;:columna I&#12297;
Aquaria dua cum basis
Aqua(ria?) in manus dua cum basis
Hamas duas cum basis
Aqua(ria) in manu (:manus) cotidian[u I]
cum basis
Urciolos (:urceolos) duos
Candelabra quatuor (:quattuor)
et lucubratoriu(m) unum
Lucerna(m) aenea(m)
Hamula(m) una(m)
Pelvi(s) cum basim
et lytrum (:luterem)
Gutos tres
Scapheola dua
Ferreas strig(i)les VII
Haenas quattor (:quattuor)

&#12296;:columna II&#12297;
Marmor(em) cum basim
aenea
Fuminaria dua","Column I: Two water jugs with bases, two (hand-sized?) water jugs with bases, two water buckets with bases, a (hand-sized?) water jug with a base for everyday use, two little pitchers, four lamp-stands, one night lamp, a bronze lamp, one small water bucket, a basin with a base, and a hand basin, three flasks, two small drinking vessels, seven iron strigils, four bronze (objects?). // Column II: marble with a base, two bronze fire-pokers(?)",Latin,", aquaria dua cum basis, aquaria in manus dua cum basis, hamas duas cum basis, aquaria in manus cotidianu i, cum basis, urceolos duos, candelabra quattuor, et lucubratorium unum, lucernam aeneam, hamulam unam, pelvis cum basim, et luterem, gutos tres, scapheola dua, ferreas strigiles vii, haenas quattuor, , , marmorem cum basim, aenea, fuminaria dua"
"[---]A&#818;S&#818;[---] conclave Puteolis
C&#803;[-]AN&#803;A&#803;
[---]V&#818;LII consitont (:consistunt) Herculaneses (:Herculanenses) navculae (:naviculae)
",... the place at Puteoli... the small Herculanean boats dock.,Latin,"2a̲s̲est conclave puteolis, c̣aṇạ, inv̲lii consistunt herculanenses naviculae, "
VS SVMM,the greatest (?) (with letters rearranged?),Latin,vs svmm
Bal&#770;b(us),Balbus,Latin,bal̂bus
Careius,Careius (OR Gaius Areius),Latin,careius
Paris,Paris,Latin,paris
"Mortus (:Mortuus)
Deii (:Deius)",Deii(us) is dead(?).,Latin,"mortuus, deius"
Q&#803;(uintus) Vet&#803;ius&#803; (:Vettius),Quintus Vet(t)ius,Latin,q̣uintus veṭiuṣ vettius
Ursi me comedan[t],Let the bears devour me.,Latin,ursi me comedant
Amethyste v&#770;a(le),"Goodbye, Amethystus.",Latin,amethyste v̂ale
[---]inibu[s? ---] feliciter,May things go happily for (some group of people - text damaged),Latin,apollinibus feliciter
"Casium et
tres sc[- - -]rios habes",You have cheese and three (...),Latin,"casium et, tres scbinarios habes"
Exse&#770;tri (:extersi),I wiped myself,Latin,exsêextersi
CA,CA,Latin,ca
Quartu,Quartu(s),Latin,quartu
Iustus cinaedu[- - -],Iustus (is a) pervert,Latin,iustus cinaedu.
VMVCOSV,(untranslatable series of letters),Latin,vmvcosv
"Longinus IV Idu[s Iu]lias
Iualias (:Iulias) accepit vim hila(re?)
Sturnus am(ator?)","Longinus - Four days before the Ides of July, he received physical force cheerfully. Starling(?)...",Latin,"longinus iv idus iulias, iulias accepit vim hilare, sturnus amator"
"Apelles Mus cum fratre Dextro
amabiliter futuimus bis
bina (:binas)","Apelles Mus (was here) with his brother Dexter. We had a great time (literally, lovingly had intercourse), twice with two girls.",Latin,"apelles mus cum fratre dextro, amabiliter futuimus bis, binas"
Euhodu&#803;s&#818;,Euhodus,Latin,euhodụs̲
"&#12296;:columna I&#12297;
Urso 
&#12296;:columna II&#12297;
Urso","To the bear, to the bear",Latin,", urso , , urso"
Magius,Magius,Latin,magius
"&#12296;:ad perpendiculum&#12297; 
C(aius) Lucia&#770;n&#770;us",Gaius Lucianus,Latin," , caius luciân̂us"
&#390; Semproni,The century (unit) of Sempronius,Latin,ɔ semproni
Q R,(Individual letters),Latin,q r
L(ucius) · Lollius procûr(ator),Lucius Lollius procurator,Latin,lucius · lollius procûrator
"Geganius
Romulus
aedilis
ivenalium (:iuvenalium)","Geganius Romulus, aedile of the iuvenales",Latin,"geganius, romulus, aedilis, iuvenalium"
Sev+,Beginning of name? (Severus),Latin,sev
"&#12296;:ad perpendiculum&#12297;
Cinn(amus?)",Cinn(amus?),Latin,", cinnamus"
Trae(x) (:Thraex),Thraex (style of gladiator),Latin,traex thraex
"Mo
Modest(us)",,Latin,"mo, modestus"
"Q(uintus) Caeicilius (:Caecilius)
Q(uintus) Cae(cilius)
L(ucius) Cae&#803;(cilius)","Quintus Caecilus, Quintus Cae(cilius), Lucius Cae(cilius)",Latin,"quintus caecilius, quintus caecilius, lucius caẹcilius"
"&#12296;:stria 4&#12297;
D
D
 
&#12296;:stria 5&#12297;
R
ATA
B
((:caduceus))
S
S
 
&#12296;:stria 6&#12297;
((:caduceus))
S
CX
 
&#12296;:stria 7&#12297;
S
S
V&#770;ôt&#770;r(oni?)
&#12296;:textus non legitur&#12297;
 
&#12296;:stria 8&#12297;
Aseli=
a=
m (:Asellam)
CXL","(Individual letters, drawings of a caduceus), Votr(onius?), Asella, 140",Latin,", d, d, , , r, ata, b, caduceus, s, s, , , caduceus, s, cx, , , s, s, v̂ôt̂roni, , , , aseli=, a=, asellam, cxl"
"PI
&#12296;:vacat&#12297;
G
G
C
",(Individual letters),Latin,"pi, , g, g, c, "
"Duobus
Fabi(i)s fe[l(iciter)]",,Latin,"duobus, fabiis feliciter"
((centuria)) Clementis,The century (unit) of Clemens,Latin,centuria clementis
"&#12296;:ad perpendiculum&#12297;
Castalo s(alutem)","Hi, Castalus!",Latin,", castalo salutem"
Nero,,Latin,nero
"&#12296;:adperpendiculum&#12297;
DTCIVBXA",,Latin,", dtcivbxa"
"Pompe&#12296;:vacat&#12297; IV a(ssibus) III S(emis)
P(ondo?) lard(i) a(ssibus) III
Vinum a(sse) S(emis)
Casium a(sse) S(emis)
Oleum a(sse) I
Panem a(ssibus) I S(emis)
Suar(ium?) a(ssibus) IIII
","At Pompeii ? 4(??), 3 1/2 asses (?), a pound of lard - 3 asses (small coins), wine - 1/2 as, cheese - 1/2 as, oil - 1 as, bread - 1 1/2 asses, suet/pork? - 4 asses.",Latin,"pompe iv assibus iii semis, pondo lardi assibus iii, vinum asse semis, casium asse semis, oleum asse i, panem assibus i semis, suarium assibus iiii, "
"((:trophaeum?))
ATIIIIVS NAS
II+",(Drawing and series of letters),Latin,"trophaeum, atiiiivs nas, ii"
"Dos 
I a(ssis)",Give (Greek imperative!) one as (small coin),Latin,"dos , i assis"
NavaS&#803;&#803;P&#803;a,,Latin,navaṣ̣p̣a
A(ulus) L&#7883;c&#803;&#7883;&#7751;&#7883;u&#818;s&#818;,Aulus Lincinius,Latin,aulus lịc̣ịṇịu̲s̲
"Phoebus unguentarius
optume (:optime) futuit",,Latin,"phoebus unguentarius, optime futuit"
"((:avis externa in arboris ramo stans)) 
BO",BO,Latin,"avis externa in arboris ramo stans , bo"
VRB,VRB,Latin,vrb
"&#12296;:stria 3&#12297;
M  

&#12296;:stria 5&#12297;  
B   

&#12296;:stria 10&#12297;
M 

&#12296;:stria 11&#12297;      
XX",(Individual letters),Latin,", m , ,  , b  , , , m , ,    , xx"
Voltini ((mille)),Voltinus' - 1000,Latin,voltini mille
"L
PED",(Series of letters),Latin,"l, ped"
"&#12296;:stria 7&#12297;
C   
&#12296;:stria 8&#12297;
A",(Individual letters),Latin,", c  , , a"
IIIIII,6,Latin,iiiiii
"&#12296;:ad perpendiculum, sursum?&#12297;
M(arci) Brut(t)idi Stati","Oh, Marcus Bruttidius Statius",Latin,", marci bruttidi stati"
"Urbanus
hc (:hic) lus (:lusit) VI Idus
decemrias (:decembres)",Urbanus played (performed?) here six days before the Ides of December,Latin,"urbanus, hic lusit vi idus, decembres"
EMIMIMVSOMA,[Text of uncertain meaning.],Latin,emimimvsoma
"VIII 
IIIIIIII","8, 8",Latin,"viii , iiiiiiii"
IIIII,5,Latin,iiiii
Aprodite (:Aphrodite) issa (:ipsa),,Latin,aphrodite ipsa
"((:caput hominis ad sin.)) 
Surus (:Syrus)
Hol(coni?)","Syrus, (slave of) Hol(conius?)",Latin,"caput hominis ad sin. , syrus, holconi"
"&#12296;:columna I&#12297;
[quid f]it? vi me, oculeì (:oculi), posquam (:postquam) deducxstis (:deduxistis) in ignem
[no]n ob vim vestreis (:vestris) largificatis geneis.
[porr]&#7885; non possunt lacrumae restinguere flamam (:flammam),
[hae]c os incendunt tabificantque animum. 

&#12296;:columna II&#12297;
Tiburtinus epoese (:&#7952;&#960;&#959;&#943;&#951;&#963;&#949;)",,Latin/Greek,", quid fit vi me, oculi, postquam deduxistis in ignem, non ob vim vestris largificatis geneis., porrọ non possunt lacrumae restinguere flammam,, haec os incendunt tabificantque animum. , , , tiburtinus epoese ἐποίησε"
"sei (:si) quid amor valeat nostei (:novisti), sei (:si) te hominem scis,
commiseresce mei, da veniam ut veniam.
flos Veneris mihi de",,Latin,"si quid amor valeat novisti, si te hominem scis,, commiseresce mei, da veniam ut veniam., flos veneris mihi de"
calos Paris,,Latin/Greek,calos paris
Icare v&#803;(ale),"Bye, Icarus",Latin,icare ṿale
Balai,[Text of uncertain meaning],Latin,balai
IIIIII,6,Latin,iiiiii
"Antonius
&#12296;:trans hanc&#12297;
M M M S
",,Latin,"antonius, , m m m s, "
XXXXXIII,53,Latin,xxxxxiii
IIIIIIII,8,Latin,iiiiiiii
Chole (:Chloe) Clemen,"Chloe, Clemen(s?)",Latin,chloe clemen
"V
",5,Latin,"v, "
C(aius) Lalius,Gaius Lalius,Latin,caius lalius
"Tu, dea, tu presenos tro (:praesens nostros) succurre labore (:labori)",,Latin,"tu, dea, tu presenos tro praesens nostros succurre labori"
Mystice va(le),"Bye, Mysticus",Latin,mystice vale
XV,15,Latin,xv
Fortunata fellat,,Latin,fortunata fellat
"q&#7909;isquis es, amiss&#7885;&#7779; hi&#7751;[c iam ob]=
liviscere Gra&#7883;&#7885;s.
Scribit Narciss(us)
ER",,Latin,"qụisquis es, amissọṣ hiṇc iam ob=, liviscere graịọs., scribit narcissus, er"
"P(ubli) Pro=
pesi
cuntus. 
Verpa
que (:quae) is=
tuc
leges.
&#12296;:vacat&#12297;
Non es
fiden=
ter,
script=
o (:scriptor)
((:phallus))","Publius Propesius, jerk. You who read this are a prick.    -- You are not trustworthy, writer. (drawing of a phallus)",Latin,"publi pro=, pesi, cuntus. , verpa, quae is=, tuc, leges., , non es, fiden=, ter,, script=, scriptor, phallus"
IIIIIIIII,9,Latin,iiiiiiiii
"VI
",6,Latin,"vi, "
"&#12296;:ad perpendiculum&#12297; 
M(arcus) Atillius (:Atilius) hic stationem fecit 
",Marcus Atillius made a stop here.,Latin," , marcus atilius hic stationem fecit , "
"N&#770;T
MA",(Individual letters),Latin,"n̂t, ma"
XXII,22,Latin,xxii
Icar(us),Icarus,Latin,icarus
"Nauplius
Clappo salu(tem)",Nauplius sends greetings to Clappus.,Latin,"nauplius, clappo salutem"
"R&#803;A&#803;
VR",(Incomprehensible series of letters),Latin,"ṛạ, vr"
IIIIIIII,8,Latin,iiiiiiii
Militibus ub(ique salutem?),(Greetings?) to soldiers everywhere,Latin,militibus ubique salutem
"Phosphor(us) tuis
choreis",,Latin,"phosphorus tuis, choreis"
q&#803;uo&#803;&#7779;,Whom,Latin,q̣uọṣ
"[nil sibi] habere aiunt Eum[am totum]que locare.
[q]uid &#7789;um? [plus a]deo condere uti liceat",,Latin,"nil sibi habere aiunt eumam totumque locare., quid ṭum plus adeo condere uti liceat"
Firmus,,Latin,firmus
Iusto fe&#803;(liciter?),,Latin,iusto fẹliciter
XX,20,Latin,xx
"Eros 
Thymele&#803;
","Eros, Thymele",Latin,"eros , thymelẹ, "
"Ga (:Gaius) Sabinius Statio plurima (:plurimam) sal(utem)

&#12296;:vv. 2-4 intra lineis dispositis in quadrato scripti sunt&#12297;
Viator Pompeis pane (:panem) gustas
Nuceriae bibes
Nucc++++es","Gaius Sabinius gives lots and lots of greetings to Statius.   --Traveler, at Pompeii you eat bread. At Nuceria, you will drink! At Nuceria...",Latin,"gaius sabinius statio plurimam salutem, , , viator pompeis panem gustas, nuceriae bibes, nucces"
Primus,Primus,Latin,primus
"ic (:hic) abitamus (:habitamus)
felices
nos
dii
faciant","We live here. May the gods make us happy. (Or, May the gods grant that we live here happily.)",Latin,"hic habitamus, felices, nos, dii, faciant"
Iar,,Latin,iar
COLA,(Beginning of a word),Latin,cola
Postu&#803;(mi),"Oh, Postumius",Latin,postụmi
Lucilius,Lucilius,Latin,lucilius
"Successus textor amat coponiaes ancilla(m)
nomine Hiredem (:Iridem) quae quidem illum
non curat. &#12296;:vacat&#12297; sed ille rogat illa comiseretur (:commiseretur).
&#12296;:vacat&#12297; scribit rivalis. vale.
Invidiose, quia rumperes (:rumperis) sedare (:sectari?) noli formonsiorem 
et qui est homo pravessimus (:pravissimus) et bellus.",,Latin,"successus textor amat coponiaes ancillam, nomine iridem quae quidem illum, non curat. sed ille rogat illa commiseretur., scribit rivalis. vale., invidiose, quia rumperis sectari noli formonsiorem , et qui est homo pravissimus et bellus."
"Pri=
mus",Primus,Latin,"pri=, mus"
XXXXXII,,Latin,xxxxxii
Rufus,,Latin,rufus
Ampliatus,,Latin,ampliatus
"((:anser spectans ad sinistram))
Mulviu Mulvi","Kite (type of bird), kite",Latin,"anser spectans ad sinistram, mulviu mulvi"
"Africanus moritur
scribet (:scribit) puer Rusticus
condisces (:condiscens) cui dolet pro Africano",,Latin,"africanus moritur, scribit puer rusticus, condiscens cui dolet pro africano"
XXXII,,Latin,xxxii
{Ac}Accia,,Latin,{ac}accia
Decus,,Latin,decus
"XIIII III
XX &#12296;:vacat&#12297; XXV &#12296;:vacat&#12297; XXVIII","14, 3, 20, 25, 28",Latin,"xiiii iii, xx xxv xxviii"
"Pelias
Alcestis",Pelias Alcestis,Latin,"pelias, alcestis"
XX Heraclae,20 for Heracla,Latin,xx heraclae
MV,MV,Latin,mv
A(ulus) Rufus (?),,Latin,aulus rufus 
Adauctus,,Latin,adauctus
"IIX Idus Ianuar(ias)
sacculum",,Latin,"iix idus ianuarias, sacculum"
[H]irriu(s),,Latin,hirrius
quati,,Latin,quati
incala&#7807;(it?),,Latin,incalaṿit
M(anius) Valer(ius),,Latin,manius valerius
&#928;IIII,?4,Latin/Greek,πiiii
"Quartio&#803;
VIII C&#803;A&#803;",,Latin,"quartiọ, viii c̣ạ"
[O]nesimus,,Latin,onesimus
"Procule
Postumi, va(le)",,Latin,"procule, postumi, vale"
Prim[- - -]ac[- - -]ecis,,Latin,prim.acgrcecis
Onesim(us),,Latin,onesimus
"Pyramus, Heuodus (:Euhodus)",,Latin,"pyramus, euhodus"
"&#922;&#941;&#955;&#1010;&#945; L(ucii) l(iberta) 
&#12314;XIX&#12315;",,Latin/Greek,"κέλϲα lucii liberta , "
[- - -]ECMONA[- - -],,Latin,deecmona.
Rusat&#818;i&#818;a&#818;,,Latin,rusat̲i̲a̲
"&#12296;:col. I&#12297;
SSIIX

&#12296;:col. II&#12297;
Primigenia
multa
&#12296;:textus non legitur&#12297;",,Latin,", ssiix, , , primigenia, multa, "
"&#920;
Mortus (:mortuus)
Cirulus (:Caerulus?)
Nonas
poste[r]u (:postridie Nonas)",,Latin,"θ, mortuus, caerulus, nonas, posteru postridie nonas"
Diane(n)sis,,Latin,dianensis
"XVI
  XXI","16, 21",Latin,"xvi,  xxi"
XVI((semis)),16.5,Latin,xvisemis
[- - -]+ Titius v+ Diogenes tuque &#12296;:vacat&#12297; VI,,Latin,2 titius v diogenes tuque vi
S(exto) Burrenio s(alutem),Greetings to Sextus Burenius,Latin,sexto burrenio salutem
"Ti comnis
olithus
rectus
",Ti(tus) Comnis Olithus Rectus,Latin,"ti comnis, olithus, rectus, "
Silenu[- - -],,Latin,silenu.
"Rru
Rru",Text of uncertain meaning,Latin,"rru, rru"
M(arcus?) Caes,M(arcus) Caes(ar),Latin,marcus caes
Antonius Rustio s[al(utem)?],,Latin,antonius rustio salutem
CA&#803;T&#803;IA&#803;,,Latin,cạṭiạ
Castrensis,,Latin,castrensis
((denarius)) I a(sses) X,"1 denarius, 10 asses (i.e. an amount of money)",Latin,denarius i asses x
"Viabianus
XIII","Viabianus
13",Latin,"viabianus, xiii"
"[------]
Anicet&#803;us
scripsit ISTMVS (:Isthmus)
[------]","Anicetus
Isthmus wrote (this)",Latin,", aniceṭus, scripsit isthmus, "
Caniu,Caniu(s?),Latin,caniu
"Mentula
V ((sestertiis))",,Latin,"mentula, v sestertiis"
"Natali
nana
Natalis
Natalis
cinedus (:cinaedus) est
Nata ixs
",,Latin,"natali, nana, natalis, natalis, cinaedus est, nata ixs, "
"Ic (:hic) sumus 
felices 
valiamus (:valeamus)  
recte","We are happy here; may we be well, rightly!",Latin,"hic sumus , felices , valeamus , recte"
O&#818; E&#818;p&#818;h&#818;a&#818;p&#818;r&#818;odite (:Epaphrodite) NITV,Oh Epaphroditus... (unknown word or part of word),Latin,o̲ e̲p̲h̲a̲p̲r̲epaphrodite nitv
"Quaestor [- - -?]
D&#803;[- - -?]",,Latin,"quaestor , ḍ."
"RV
Rufus
&#12296;:vacat&#12297;Nonio
Felicion&#770;i","RU, Rufus, to Nonius Felicio",Latin,"rv, rufus, nonio, felicion̂i"
"L(ucius) Acutius L(ucii) f(ilii)
Vol(tinia) Rufus
Ma&#803;g&#803;[i]ster","Lucius Acutius Rufus, son of Lucius, of the Voltinia voting tribe - official (magister)",Latin,"lucius acutius lucii filii, voltinia rufus, mạg̣ister"
"&#12296;:retrogradum&#12297;
P(ublius) C((signum))OEIVS",P. Coelius (written backwards),Latin,", publius csignumoeivs"
DVD,DVD,Latin,dvd
Ahtus (:Anthus) apais(?) (:&#7940;&#960;&#945;&#953;&#962;),childless(?) Anthus,Latin/Greek,anthus apais ἄπαις
T  S  I,TSI,Latin,t s i
"R  
XX
XX
XXX","R, 10, 10, 30",Latin,"r , xx, xx, xxx"
XII,12,Latin,xii
Secu(ndus?),Secu(ndus?),Latin,secundus
"DI+D
",(Series of letters),Latin,"did, "
SCRI,(Series of letters),Latin,scri
Licintus,Licintus,Latin,licintus
IIIIIIVIIIII,"16 (6, 5, 5)",Latin,iiiiiiviiiii
"salve Ilia [---]
",,Latin,"salve ilia virgo, "
"Quorumc 
Primuis",,Latin,"quorumc , primuis"
Quiscus (:Quisquis) ama(t),Whoever loves,Latin,quisquis amat
"&#12296;:stria 6&#12297;
C&#818;o&#818;(nsul?)

&#12296;:stria 8&#12297;
Co(n)s(ul)","Co(nsul?), Consul",Latin,", c̲o̲nsul, , , consul"
Fortunate,"Oh, Fortunatus!",Latin,fortunate
Liberalis,Liberalis,Latin,liberalis
NC,NC,Latin,nc
"SAMNI
QVINT
debes
Felicio
SA
+2?+","Samnis(?) how much(??) do you owe, Felicio, (other letters here)",Latin,"samni, qvint, debes, felicio, sa, 2"
Vator (:Viator?),Traveler (?),Latin,viator
MCIIRVLIIVS (:Marcus CERULEUS) sit,May Marcus be sky blue (??),Latin,mciirvliivs marcus ceruleus sit
"Cori=
don (:Corydon)",Corydon,Latin,"cori=, corydon"
RR,RR,Latin,rr
"&#12296;:stria 9&#12297;
F
&#12296;:stria 10&#12297;
R
&#12296;:stria 13&#12297;
A&#818;","F, R, A",Latin,", f, , r, , a̲"
SAVF(eius?),Sauf(eius?),Latin,savfeius
"II[---]
III MALLI[---]
CATAN[---]
F&#803;OR[---]",(Uncertain words),Latin,"iimari, iii malli, catan., f̣or."
"VII Idus Sep[tem]bres
Q(uintus) Postumius
rogavit
A(ulum) Attium
pedicarim (:pedicarem)","On the 7th day before the Ides of September, Quintus Postumius asked Aulus Attius, Can I screw you?",Latin,"vii idus septembres, quintus postumius, rogavit, aulum attium, pedicarem"
"&#12296;:columna I&#12297;
VIII   VI
&#12296;:columna II&#12297;
VIII
&#12296;:columna III&#12297;
VIII
&#12296;:columna IV&#12297; 
&#923; (:assibus) III
&#12296;:columna V&#12297; 
N","8 6, 8, 8, 3 asses (small coins), N",Latin,", viii  vi, , viii, , viii, , assibus iii, , n"
Paris v&#770;a(le),"Bye, Paris",Latin,paris v̂ale
RIIFDC[- - -] &#12296;:litteris inversis&#12297;,,Latin,riifdc. 
"Ca&#803;listus (:Callistus)
hic lusit
c&#7909;m",Callistus played here with,Latin,"cạcallistus, hic lusit, cụm"
VA (:vale),Bye!,Latin,vale
"&#12296;:stria 8&#12297;
X

&#12296;:stria 11&#12297;
G
G",(Individual letters),Latin,", x, , , g, g"
Sautran(e) vale,"Bye, Saturanus(?)",Latin,sautrane vale
"VII K(alendas)
Prim(us)
VI K(alendas)
Felix
V K(alendas)
Germanus
","Seven days before the Kalends, Primus. Six days before the Kalends, Felix. Five days before the Kalends, Germanicus",Latin,"vii kalendas, primus, vi kalendas, felix, v kalendas, germanus, "
"Numina
Di
","Deities, gods",Latin,"numina, di, "
S H S,(Incomprehensible series of letters),Latin,s h s
"Nec prius 
absistit, qua[m] 
septe(m) ingentia 
victor corpora
funda(t) hum(i)","Nor did he stop before, as a victor, he scattered (vanquished) seven huge bodies on the ground.",Latin,"nec prius , absistit, quam , septem ingentia , victor corpora, fundat humi"
"Inop(s) 
C(aius) · Iunius 
",Gaius Iunius (is) penniless,Latin,"inops , caius · iunius , "
"P(ublius) Corneli=
us
Faventi=
nus 
tonsor","Publius Cornelius Faventius, barber",Latin,"publius corneli=, us, faventi=, nus , tonsor"
CO&#12296;:vacat&#12297; ITBVRTIVS (:Tiburtius),(...other letters here...) Itburtius (for Tiburtius? Tiburtinus?),Latin,co tiburtius
Lucilius,Lucilius,Latin,lucilius
"Felicula 
fellas",,Latin,"felicula , fellas"
IIIIIIIIIIIIIIII,16,Latin,iiiiiiiiiiiiiiii
"Lucilius
Lucidae ubique sal(utem)",Lucilius greets his Lucida everywhere,Latin,"lucilius, lucidae ubique salutem"
"R 
<:vacat>
M",(Incomprehensible series of characters),Latin,"r , , m"
AB,,Latin,ab
Duobus,With two (guys?),Latin,duobus
"Conti[c]u[e]re o(mnes)
&#12296;:vacat&#12297; Siqua
C[-]&#7841;tit quatit",(They all) fell silent.  If any(?).  It shakes (?) It shakes.,Latin,"conticuere omnes, siqua, cạtit quatit"
Hermes,,Latin,hermes
"I HIICVII
VIILIS",(Incomprehensible series of letters),Latin,"i hiicvii, viilis"
"Ampliatus
Martialis
Ianuarius
Onesimus
Iustus","Ampliatus
Martial
Ianuarius
Onesimus
Iustus",Latin,"ampliatus, martialis, ianuarius, onesimus, iustus"
"Regulo feliciter quia verpa est ((:phallus))
Reg
Regu",Good luck to Regulus since he is a prick!,Latin,"regulo feliciter quia verpa est phallus, reg, regu"
"li++
procu IV
pa&#803;n&#803; (:panem?) &#12314;II &#12315;II
coliclo (:cauliculum) II
be (:betam) I
sina (:sinapi) I
me+t (:mentam) I
sale I","fi(rewood?)
overseer (?) - 4
bread - 2, 2
cabbage - 2
beetroot - 1
mustard root - 1
mint - 1
salt - 1",Latin,"li, procu iv, pạṇ panem ii, cauliculum ii, betam i, sinapi i, mementam i, sale i"
&#934;&#951;&#955;&#949;&#953;&#954;&#943;&#969;&#957; &#956;&#959; &#945;´ &#945;&#1010; &#947;´,"Felicio, one bushel, 3 asses",Latin/Greek,φηλεικίων μο α´ αϲ γ´
FLAVD ·,,Latin,flavd ·
TA++++++ONSIII,(Incomprehensible series of letters),Latin,taonsiii
"[---]r
[---]s bellissimu (:bellissimum)
[fu]tuerunt",They screwed most beautifully,Latin,"faber, sidus bellissimum, futuerunt"
"M
M&#770;alia&#770;nus",,Latin,"m, m̂aliânus"
I&#769;III&#769;IIIIIII&#769;IIIIIII&#769;I&#769;I&#769;,20,Latin,íiiíiiiiiiíiiiiiiííí
"Restituta rogo II
SVS",,Latin,"restituta rogo ii, svs"
Tertian (:Tertiani) hic abitarut (:habitarunt) [+1?+]ITICES verpa v&#818;a&#818;(le),"The men of the third legion were here. (...incomprehensible series of letters...) Farewell, prick!",Latin,tertiani hic habitarunt 1itices verpa v̲a̲le
Micci&#768;&#818;oci&#768;oci&#768;o [t]u [t]uo patri cacanti confregisti p&#803;e&#803;ram Miccioni&#818;s statum ((:figura hominis)) cosiderate (:considerate),"Miccio-cio-cio, you broke the wallet (bag?) for your defecating father. Consider the state of Miccio!",Latin,miccì̲ocìocìo tu tuo patri cacanti confregisti p̣ẹram miccioni̲s statum figura hominis considerate
M(arcus) Aquis Faustus,Marcus Aquis Faustus,Latin,marcus aquis faustus
[- - -]S&#803;F&#803;[- - -] belissimus (:bellissimus),(…other letters here) The most handsome man,Latin,ṣf̣ bellissimus
ab,from,Latin,ab
Romanus,Romanus,Latin,romanus
Nicedius&#818;,Nicedius,Latin,nicedius̲
"A(nte) d(iem) VI K(alendas) Nov&#770;embres pra&#770;ebuit Surus Petilius ornamen&#770;ta
M(arco) Fa&#770;usto Siloni honoris causa Suri liberti","6 days before the Kalends of November Petilius Syrus presented distinctions to Marcus Fastus Silo, for the sake of honor, freedman of Syrus",Latin,"ante diem vi kalendas nov̂embres prâebuit surus petilius ornamen̂ta, marco fâusto siloni honoris causa suri liberti"
"Quisquis amat veniat. Veneri volo frangere costas
fustibus et lumbos debilitare deae.
Si potest illa mihi tenerum pertundere pectus
quit (:cur? quid?) ego non possim caput illae (:illi) frangere fuste?",,Latin,"quisquis amat veniat. veneri volo frangere costas, fustibus et lumbos debilitare deae., si potest illa mihi tenerum pertundere pectus, quit cur quid ego non possim caput illi frangere fuste"
SUCCESS (:Successus?),,Latin,successus
"GAVDA ++ [-] +ELL++ et FAENVN&#770;T
",(incomprehensible series of letters),Latin,"gavda  ell et faenvn̂t, "
Iucundus,Iucundus,Latin,iucundus
"CCC C
CLXXV
CLXXVX&#818;X&#818;V&#818;
C[- - -]","300 100
 175
 175
 100",Latin,"ccc c, clxxv, clxxvx̲x̲v̲, c."
"XXXXIIXXXIII
venì ((scripulum))
",,Latin,"xxxxiixxxiii, venì scripulum, "
"IDVNSESISEVSSVITIDIAA
Paris IVC+VONTVS
SEIAITNIVDVSINVM",(incomprehensible series of letters) Paris (incomprehensible series of letters),Latin,"idvnsesisevssvitidiaa, paris ivcvontvs, seiaitnivdvsinvm"
XIII,13,Latin,xiii
"XXXXII
XXXX&#803;I&#803;II
XXXXII
XXXXII
&#12296;:vacat&#12297; LXX",42 43 42 42 70,Latin,"xxxxii, xxxx̣ịii, xxxxii, xxxxii, lxx"
Pompeianis - Aug(ustis) feliciter,,Latin,pompeianis augustis feliciter
S,1/2,Latin,s
&#12296;:textus in quattuor versibus non legitur&#12297;,(Incomprehensible series of letters),Latin,
Genicius,Genicius,Latin,genicius
Ascula,Ascula,Latin,ascula
"hinc
hinc
p(edibus?) XII (de)t(ractis) VII
V",From this from this 12 feet with 7 having been taking away (is) 5,Latin,"hinc, hinc, pedibus xii detractis vii, v"
Nica Crete (:Chreste) issime (:ipsime),,Latin/Greek,nica chreste ipsime
"S
CX",,Latin,"s, cx"
"((:figura hominis vestimentis induta, togati?))",,Latin,"figura hominis vestimentis induta, togati"
[Ba]lbus et Fortunata duo co(n)iuges,,Latin,balbus et fortunata duo coniuges
Veteri,,Latin,veteri
"LICA ((:tridens?))
",(Series of letters) ((:trident)),Latin,"lica tridens, "
Mur,,Latin,mur
Sica,,Latin,sica
Sever&#12314;u&#12315; us,,Latin,sever us
&#12314;a[+3?+]&#12315; Nice fellat,,Latin, nice fellat
"Firmus
Firm[u]s",,Latin,"firmus, firmus"
"((:circulus circulum continens, tracti cum circino))
M&#818;(arcus) C&#818;e&#818;r&#818;r&#818;i&#818;nus",Marcus Cerrinius (between the lines of two concentric circles),Latin,"circulus circulum continens, tracti cum circino, m̲arcus c̲e̲r̲r̲i̲nus"
"Evodius
((:navis cum malo veloque)) 

",,Latin,"evodius, navis cum malo veloque , , "
"he
he
hac",,Latin,"he, he, hac"
"Psyche 
((:nomen Psyche in medio corde))",,Latin,"psyche , nomen psyche in medio corde"
Marcus Scepsini (:Scepsidi) ubique sal(utem),,Latin,marcus scepsidi ubique salutem
